id,region_id,name,slug,description,phone,email,avatar_url,cover_url,business_type,price_level,rating_avg,rating_count,sold_count,favorite_count,min_order_amount,avg_prepare_time_min,avg_delivery_time_min,status,is_verified,created_at,updated_at
shop_001,hcm_q1,Cơm Tấm Ba Ghiền Q1,com-tam-ba-ghien-q1,"Cơm Tấm Ba Ghiền Q1 phục vụ việt nam, cơm tấm trong khu vực Quận 1, phù hợp để chatbot gợi ý theo món, giá, khẩu vị và thời gian giao.",02899672792,com-tam-ba-ghien-q1@mock-shopeefood.local,https://cdn.mock.local/shops/shop_001/avatar.jpg,https://cdn.mock.local/shops/shop_001/cover.jpg,cloud_kitchen,2,4.1,1265,22588,1056,25000,8,36,open,0,2023-09-09T12:00:00+07:00,2026-05-23T12:00:00+07:00
shop_002,hcm_q1,Bún Bò Huế Cô Mai,bun-bo-hue-co-mai,"Bún Bò Huế Cô Mai phục vụ việt nam, bún bò huế trong khu vực Quận 1, phù hợp để chatbot gợi ý theo món, giá, khẩu vị và thời gian giao.",02866709572,bun-bo-hue-co-mai@mock-shopeefood.local,https://cdn.mock.local/shops/shop_002/avatar.jpg,https://cdn.mock.local/shops/shop_002/cover.jpg,bakery,2,4.1,916,23803,1849,50000,13,34,open,0,2024-11-17T12:00:00+07:00,2026-05-29T12:00:00+07:00
shop_003,hcm_q1,Gà Rán Seoul Chicken,ga-ran-seoul-chicken,"Gà Rán Seoul Chicken phục vụ hàn quốc, gà rán trong khu vực Quận 1, phù hợp để chatbot gợi ý theo món, giá, khẩu vị và thời gian giao.",02843159610,ga-ran-seoul-chicken@mock-shopeefood.local,https://cdn.mock.local/shops/shop_003/avatar.jpg,https://cdn.mock.local/shops/shop_003/cover.jpg,bakery,3,4.7,2379,18845,2641,40000,21,21,closed,1,2025-03-24T12:00:00+07:00,2026-05-29T12:00:00+07:00
shop_004,hcm_q1,Healthy Bowl Saigon,healthy-bowl-saigon,"Healthy Bowl Saigon phục vụ healthy, salad, eat clean trong khu vực Quận 1, phù hợp để chatbot gợi ý theo món, giá, khẩu vị và thời gian giao.",02891298175,healthy-bowl-saigon@mock-shopeefood.local,https://cdn.mock.local/shops/shop_004/avatar.jpg,https://cdn.mock.local/shops/shop_004/cover.jpg,cloud_kitchen,3,4.1,790,24681,324,25000,8,20,open,1,2023-09-16T12:00:00+07:00,2026-05-18T12:00:00+07:00
shop_005,hcm_q1,Mì Cay Sasin Mini Q1,mi-cay-sasin-mini-q1,"Mì Cay Sasin Mini Q1 phục vụ hàn quốc, mì cay trong khu vực Quận 1, phù hợp để chatbot gợi ý theo món, giá, khẩu vị và thời gian giao.",02856676955,mi-cay-sasin-mini-q1@mock-shopeefood.local,https://cdn.mock.local/shops/shop_005/avatar.jpg,https://cdn.mock.local/shops/shop_005/cover.jpg,restaurant,2,4.3,617,22483,2583,25000,20,31,open,1,2024-11-27T12:00:00+07:00,2026-05-31T12:00:00+07:00
shop_006,hcm_q1,Bánh Mì Cô Lan,banh-mi-co-lan,"Bánh Mì Cô Lan phục vụ việt nam, bánh mì trong khu vực Quận 1, phù hợp để chatbot gợi ý theo món, giá, khẩu vị và thời gian giao.",02849842927,banh-mi-co-lan@mock-shopeefood.local,https://cdn.mock.local/shops/shop_006/avatar.jpg,https://cdn.mock.local/shops/shop_006/cover.jpg,bakery,1,4.2,1379,21141,2200,50000,9,36,open,1,2024-01-25T12:00:00+07:00,2026-05-16T12:00:00+07:00
shop_007,hcm_q1,Phở Bò Nam Định 24h,pho-bo-nam-inh-24h,"Phở Bò Nam Định 24h phục vụ việt nam, phở trong khu vực Quận 1, phù hợp để chatbot gợi ý theo món, giá, khẩu vị và thời gian giao.",02880039335,pho-bo-nam-inh-24h@mock-shopeefood.local,https://cdn.mock.local/shops/shop_007/avatar.jpg,https://cdn.mock.local/shops/shop_007/cover.jpg,street_food,2,4.7,1247,10444,4079,60000,16,20,closed,1,2025-05-27T12:00:00+07:00,2026-05-17T12:00:00+07:00
shop_008,hcm_q1,Bún Thịt Nướng An Nhiên,bun-thit-nuong-an-nhien,"Bún Thịt Nướng An Nhiên phục vụ việt nam, bún thịt nướng trong khu vực Quận 1, phù hợp để chatbot gợi ý theo món, giá, khẩu vị và thời gian giao.",02871560809,bun-thit-nuong-an-nhien@mock-shopeefood.local,https://cdn.mock.local/shops/shop_008/avatar.jpg,https://cdn.mock.local/shops/shop_008/cover.jpg,street_food,2,4.5,740,17077,1521,30000,21,33,open,0,2025-01-24T12:00:00+07:00,2026-05-27T12:00:00+07:00
shop_009,hcm_q1,Pizza Urban Slice,pizza-urban-slice,"Pizza Urban Slice phục vụ ý, pizza trong khu vực Quận 1, phù hợp để chatbot gợi ý theo món, giá, khẩu vị và thời gian giao.",02815542530,pizza-urban-slice@mock-shopeefood.local,https://cdn.mock.local/shops/shop_009/avatar.jpg,https://cdn.mock.local/shops/shop_009/cover.jpg,bakery,3,4.1,1458,27158,4824,50000,19,23,open,1,2024-02-12T12:00:00+07:00,2026-05-28T12:00:00+07:00
shop_010,hcm_q1,Sushi Bento Tokyo,sushi-bento-tokyo,"Sushi Bento Tokyo phục vụ nhật bản, sushi, bento trong khu vực Quận 1, phù hợp để chatbot gợi ý theo món, giá, khẩu vị và thời gian giao.",02833523345,sushi-bento-tokyo@mock-shopeefood.local,https://cdn.mock.local/shops/shop_010/avatar.jpg,https://cdn.mock.local/shops/shop_010/cover.jpg,bakery,3,4.6,2289,25681,4820,60000,17,36,open,1,2023-05-28T12:00:00+07:00,2026-05-19T12:00:00+07:00
shop_011,hcm_q1,Lẩu Mini Một Người,lau-mini-mot-nguoi,"Lẩu Mini Một Người phục vụ lẩu, việt nam, thái trong khu vực Quận 1, phù hợp để chatbot gợi ý theo món, giá, khẩu vị và thời gian giao.",02810729292,lau-mini-mot-nguoi@mock-shopeefood.local,https://cdn.mock.local/shops/shop_011/avatar.jpg,https://cdn.mock.local/shops/shop_011/cover.jpg,restaurant,2,4.1,2277,19311,4409,40000,12,19,open,1,2025-03-14T12:00:00+07:00,2026-05-19T12:00:00+07:00
shop_012,hcm_q1,Bếp Chay Sen Vàng,bep-chay-sen-vang,"Bếp Chay Sen Vàng phục vụ chay, việt nam trong khu vực Quận 1, phù hợp để chatbot gợi ý theo món, giá, khẩu vị và thời gian giao.",02830338310,bep-chay-sen-vang@mock-shopeefood.local,https://cdn.mock.local/shops/shop_012/avatar.jpg,https://cdn.mock.local/shops/shop_012/cover.jpg,bakery,1,4.4,967,4905,2391,40000,20,32,busy,0,2025-05-06T12:00:00+07:00,2026-05-23T12:00:00+07:00
shop_013,hcm_q1,Dimsum Hồng Kông Express,dimsum-hong-kong-express,"Dimsum Hồng Kông Express phục vụ hoa, dimsum trong khu vực Quận 1, phù hợp để chatbot gợi ý theo món, giá, khẩu vị và thời gian giao.",02868015039,dimsum-hong-kong-express@mock-shopeefood.local,https://cdn.mock.local/shops/shop_013/avatar.jpg,https://cdn.mock.local/shops/shop_013/cover.jpg,bakery,2,4.4,298,27904,2500,30000,20,36,open,1,2025-08-15T12:00:00+07:00,2026-05-30T12:00:00+07:00
shop_014,hcm_q1,Burger Station Q1,burger-station-q1,"Burger Station Q1 phục vụ mỹ, burger trong khu vực Quận 1, phù hợp để chatbot gợi ý theo món, giá, khẩu vị và thời gian giao.",02888092916,burger-station-q1@mock-shopeefood.local,https://cdn.mock.local/shops/shop_014/avatar.jpg,https://cdn.mock.local/shops/shop_014/cover.jpg,cloud_kitchen,3,4.3,696,10002,1178,20000,18,26,busy,1,2024-04-06T12:00:00+07:00,2026-05-27T12:00:00+07:00
shop_015,hcm_q1,Cơm Gà Hải Nam Singapore,com-ga-hai-nam-singapore,"Cơm Gà Hải Nam Singapore phục vụ singapore, cơm gà trong khu vực Quận 1, phù hợp để chatbot gợi ý theo món, giá, khẩu vị và thời gian giao.",02816824766,com-ga-hai-nam-singapore@mock-shopeefood.local,https://cdn.mock.local/shops/shop_015/avatar.jpg,https://cdn.mock.local/shops/shop_015/cover.jpg,street_food,2,4.5,566,12980,3940,25000,8,33,open,1,2023-11-21T12:00:00+07:00,2026-05-19T12:00:00+07:00
shop_016,hcm_q1,Bún Đậu Mắm Tôm Hà Nội,bun-au-mam-tom-ha-noi,"Bún Đậu Mắm Tôm Hà Nội phục vụ việt nam, bún đậu trong khu vực Quận 1, phù hợp để chatbot gợi ý theo món, giá, khẩu vị và thời gian giao.",02815425907,bun-au-mam-tom-ha-noi@mock-shopeefood.local,https://cdn.mock.local/shops/shop_016/avatar.jpg,https://cdn.mock.local/shops/shop_016/cover.jpg,bakery,2,4.9,1232,11463,1108,40000,14,32,open,1,2024-07-02T12:00:00+07:00,2026-05-19T12:00:00+07:00
shop_017,hcm_q1,Trà Sữa Moon Tea,tra-sua-moon-tea,"Trà Sữa Moon Tea phục vụ đồ uống, trà sữa trong khu vực Quận 1, phù hợp để chatbot gợi ý theo món, giá, khẩu vị và thời gian giao.",02859946388,tra-sua-moon-tea@mock-shopeefood.local,https://cdn.mock.local/shops/shop_017/avatar.jpg,https://cdn.mock.local/shops/shop_017/cover.jpg,cloud_kitchen,1,4.7,479,18794,3523,30000,15,20,open,1,2025-01-13T12:00:00+07:00,2026-05-22T12:00:00+07:00
shop_018,hcm_q1,Cháo Sườn Chú Tư,chao-suon-chu-tu,"Cháo Sườn Chú Tư phục vụ việt nam, cháo trong khu vực Quận 1, phù hợp để chatbot gợi ý theo món, giá, khẩu vị và thời gian giao.",02862183089,chao-suon-chu-tu@mock-shopeefood.local,https://cdn.mock.local/shops/shop_018/avatar.jpg,https://cdn.mock.local/shops/shop_018/cover.jpg,cloud_kitchen,1,4.8,718,24166,1096,30000,16,18,open,1,2023-08-12T12:00:00+07:00,2026-05-24T12:00:00+07:00
