id,shop_id,category_id,name,description,base_price,sale_price,image_url,rating_avg,rating_count,sold_count,prepare_time_min,spicy_level,calories_estimate,portion_size,is_available,is_signature,is_combo,created_at,updated_at
item_001_001,shop_001,cat_001_01,Cơm tấm sườn bì chả,"Cơm tấm sườn bì chả tại Cơm Tấm Ba Ghiền Q1. Tags: no lâu, bán chạy, ăn trưa. Mức cay 0/5.",59000,,https://cdn.mock.local/items/item_001_001.jpg,4.3,790,1107,10,0,341,vừa,1,1,0,2023-09-09T12:00:00+07:00,2026-05-23T12:00:00+07:00
item_001_002,shop_001,cat_001_01,Cơm tấm sườn trứng,"Cơm tấm sườn trứng tại Cơm Tấm Ba Ghiền Q1. Tags: dễ ăn, ăn sáng, ăn trưa. Mức cay 0/5.",55000,50000,https://cdn.mock.local/items/item_001_002.jpg,3.9,1099,3114,16,0,787,1-2 người,1,0,0,2023-09-09T12:00:00+07:00,2026-05-23T12:00:00+07:00
item_001_003,shop_001,cat_001_01,Cơm tấm ba rọi nướng,"Cơm tấm ba rọi nướng tại Cơm Tấm Ba Ghiền Q1. Tags: đậm vị, no lâu. Mức cay 1/5.",62000,56000,https://cdn.mock.local/items/item_001_003.jpg,4.1,53,1450,7,1,328,1-2 người,1,0,0,2023-09-09T12:00:00+07:00,2026-05-23T12:00:00+07:00
item_001_004,shop_001,cat_001_01,Cơm tấm chả cua,"Cơm tấm chả cua tại Cơm Tấm Ba Ghiền Q1. Tags: món Việt, dễ ăn. Mức cay 0/5.",52000,,https://cdn.mock.local/items/item_001_004.jpg,4.0,925,1728,15,0,420,2 người,1,0,0,2023-09-09T12:00:00+07:00,2026-05-23T12:00:00+07:00
item_001_005,shop_001,cat_001_02,Canh khổ qua nhồi thịt,"Canh khổ qua nhồi thịt tại Cơm Tấm Ba Ghiền Q1. Tags: món phụ, ít dầu mỡ. Mức cay 0/5.",35000,32000,https://cdn.mock.local/items/item_001_005.jpg,4.0,685,1860,11,0,272,1-2 người,1,0,0,2023-09-09T12:00:00+07:00,2026-05-23T12:00:00+07:00
item_001_006,shop_001,cat_001_03,Trà tắc,"Trà tắc tại Cơm Tấm Ba Ghiền Q1. Tags: đồ uống, giải khát. Mức cay 0/5.",18000,,https://cdn.mock.local/items/item_001_006.jpg,4.1,1027,3885,12,0,175,1 người,1,0,0,2023-09-09T12:00:00+07:00,2026-05-23T12:00:00+07:00
item_002_001,shop_002,cat_002_01,Bún bò Huế đặc biệt,"Bún bò Huế đặc biệt tại Bún Bò Huế Cô Mai. Tags: món cay, đậm vị, bán chạy. Mức cay 3/5.",65000,,https://cdn.mock.local/items/item_002_001.jpg,4.2,293,3822,16,3,621,vừa,1,1,0,2024-11-17T12:00:00+07:00,2026-05-29T12:00:00+07:00
item_002_002,shop_002,cat_002_01,Bún bò tái,"Bún bò tái tại Bún Bò Huế Cô Mai. Tags: món nước, ăn sáng. Mức cay 2/5.",50000,46000,https://cdn.mock.local/items/item_002_002.jpg,3.9,147,1658,11,2,365,1-2 người,1,0,0,2024-11-17T12:00:00+07:00,2026-05-29T12:00:00+07:00
item_002_003,shop_002,cat_002_01,Bún bò giò heo,"Bún bò giò heo tại Bún Bò Huế Cô Mai. Tags: no lâu, đậm vị. Mức cay 3/5.",58000,,https://cdn.mock.local/items/item_002_003.jpg,4.2,154,3363,14,3,683,nhỏ,1,0,0,2024-11-17T12:00:00+07:00,2026-05-29T12:00:00+07:00
item_002_004,shop_002,cat_002_01,Bún bò ít cay,"Bún bò ít cay tại Bún Bò Huế Cô Mai. Tags: ít cay, dễ ăn. Mức cay 1/5.",50000,,https://cdn.mock.local/items/item_002_004.jpg,4.0,795,1634,15,1,804,nhỏ,0,0,0,2024-11-17T12:00:00+07:00,2026-05-29T12:00:00+07:00
item_002_005,shop_002,cat_002_02,Chả cua thêm,Chả cua thêm tại Bún Bò Huế Cô Mai. Tags: topping. Mức cay 0/5.,22000,19000,https://cdn.mock.local/items/item_002_005.jpg,4.1,247,1882,15,0,142,vừa,1,0,0,2024-11-17T12:00:00+07:00,2026-05-29T12:00:00+07:00
item_002_006,shop_002,cat_002_03,Nước sâm,"Nước sâm tại Bún Bò Huế Cô Mai. Tags: đồ uống, thanh mát. Mức cay 0/5.",18000,,https://cdn.mock.local/items/item_002_006.jpg,4.1,516,3647,20,0,290,vừa,1,0,0,2024-11-17T12:00:00+07:00,2026-05-29T12:00:00+07:00
item_003_001,shop_003,cat_003_01,Gà rán sốt cay Hàn Quốc,"Gà rán sốt cay Hàn Quốc tại Gà Rán Seoul Chicken. Tags: món cay, ăn nhóm, đậm vị. Mức cay 4/5.",89000,,https://cdn.mock.local/items/item_003_001.jpg,4.7,841,3027,24,4,885,2 người,1,1,0,2025-03-24T12:00:00+07:00,2026-05-29T12:00:00+07:00
item_003_002,shop_003,cat_003_01,Gà không xương sốt mật ong,"Gà không xương sốt mật ong tại Gà Rán Seoul Chicken. Tags: không cay, dễ ăn. Mức cay 0/5.",85000,,https://cdn.mock.local/items/item_003_002.jpg,4.6,1013,3373,27,0,655,2 người,1,0,0,2025-03-24T12:00:00+07:00,2026-05-29T12:00:00+07:00
